ID,Titel/Metadata,Ruwe_Cuneiform,Machine_Transliteratie
131837,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P131837.jpg,"{'id': 131837, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P131837.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P131837_l.jpg', 'bboxes': [[204.0, 200.0], [523.0, 522....",Geen transliteratie
131837,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P131837.jpg,"{'id': 131837, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P131837.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P131837_l.jpg', 'bboxes': [[204.0, 200.0], [523.0, 522....",Geen transliteratie
110183,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P110183.jpg,"{'id': 110183, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P110183.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P110183_l.jpg', 'bboxes': [[271.0, 267.0], [660.0, 717....",Geen transliteratie
248628,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P248628.jpg,"{'id': 248628, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P248628.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P248628_l.jpg', 'bboxes': [[233.0, 218.0], [633.0, 677....",Geen transliteratie
274129,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P274129.jpg,"{'id': 274129, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P274129.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P274129_l.jpg', 'bboxes': [[363.0, 319.0], [833.0, 824....",Geen transliteratie
143558,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P143558.jpg,"{'id': 143558, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P143558.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P143558_l.jpg', 'bboxes': [[500.0, 299.0], [1004.0, 864...",Geen transliteratie
407569,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P407569.jpg,"{'id': 407569, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P407569.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P407569_l.jpg', 'bboxes': [[196.0, 202.0], [525.0, 580....",Geen transliteratie
118476,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P118476.jpg,"{'id': 118476, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P118476.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P118476_l.jpg', 'bboxes': [[278.0, 245.0], [750.0, 794....",Geen transliteratie
104577,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P104577.jpg,"{'id': 104577, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P104577.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P104577_l.jpg', 'bboxes': [[168.0, 175.0], [555.0, 609....",Geen transliteratie
407316,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P407316.jpg,"{'id': 407316, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P407316.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P407316_l.jpg', 'bboxes': [[178.0, 179.0], [655.0, 667....",Geen transliteratie
249524,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P249524.jpg,"{'id': 249524, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P249524.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P249524_l.jpg', 'bboxes': [[237.0, 244.0], [547.0, 557....",Geen transliteratie
346508,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P346508.jpg,"{'id': 346508, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P346508.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P346508_l.jpg', 'bboxes': [[154.0, 19.0], [506.0, 461.0...",Geen transliteratie
121033,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P121033.jpg,"{'id': 121033, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P121033.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P121033_l.jpg', 'bboxes': [[233.0, 267.0], [701.0, 790....",Geen transliteratie
416421,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P416421.jpg,"{'id': 416421, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P416421.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P416421_l.jpg', 'bboxes': [[171.0, 188.0], [435.0, 498....",Geen transliteratie
144858,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P144858.jpg,"{'id': 144858, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P144858.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P144858_l.jpg', 'bboxes': [[513.0, 284.0], [1042.0, 826...",Geen transliteratie
100500,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P100500.jpg,"{'id': 100500, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P100500.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P100500_l.jpg', 'bboxes': [[283.0, 237.0], [781.0, 721....",Geen transliteratie
134802,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P134802.jpg,"{'id': 134802, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P134802.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P134802_l.jpg', 'bboxes': [[272.0, 282.0], [661.0, 746....",Geen transliteratie
131797,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P131797.jpg,"{'id': 131797, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P131797.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P131797_l.jpg', 'bboxes': [[215.0, 237.0], [688.0, 742....",Geen transliteratie
117019,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P117019.jpg,"{'id': 117019, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P117019.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P117019_l.jpg', 'bboxes': [[188.0, 208.0], [613.0, 689....",Geen transliteratie
123986,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P123986.jpg,"{'id': 123986, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P123986.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P123986_l.jpg', 'bboxes': [[243.0, 18.0], [626.0, 691.0...",Geen transliteratie
235615,https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P235615.jpg,"{'id': 235615, 'img_url': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_photo/P235615.jpg', 'lineart': 'https://cdli.mpiwg-berlin.mpg.de/dl/tn_lineart/P235615_l.jpg', 'bboxes': [[225.0, 239.0], [679.0, 709....",Geen transliteratie
